mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__min_samples_split,param_classifier__min_samples_leaf,param_classifier__max_depth,param_classifier__criterion,param_classifier__class_weight,param_classifier__ccp_alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
2.57549147605896,0.05242509620244661,0.097285795211792,0.019407015441089324,2,5,16,gini,balanced,0.0001,"{'classifier__min_samples_split': 2, 'classifier__min_samples_leaf': 5, 'classifier__max_depth': 16, 'classifier__criterion': 'gini', 'classifier__class_weight': 'balanced', 'classifier__ccp_alpha': 0.0001}",0.8727873305943685,0.8710297055072381,0.8724050437151313,0.8760487475757059,0.8743319567746237,0.8733205568334135,0.0017225822974710136,1
3.1273051261901856,0.02942030897155938,0.13120837211608888,0.033573229379174736,40,2,24,gini,,0.0001,"{'classifier__min_samples_split': 40, 'classifier__min_samples_leaf': 2, 'classifier__max_depth': 24, 'classifier__criterion': 'gini', 'classifier__class_weight': None, 'classifier__ccp_alpha': 0.0001}",0.8743036259730784,0.8700856706309904,0.8682158431550959,0.874605467627232,0.8741971493407692,0.8722815513454332,0.0026271948372874406,2
2.4733795642852785,0.09977972375625405,0.2175137519836426,0.10787293204157317,10,20,16,log_loss,balanced,0.0001,"{'classifier__min_samples_split': 10, 'classifier__min_samples_leaf': 20, 'classifier__max_depth': 16, 'classifier__criterion': 'log_loss', 'classifier__class_weight': 'balanced', 'classifier__ccp_alpha': 0.0001}",0.8686610609818579,0.8684608579529783,0.867158674720156,0.8704841614509662,0.8696121393868972,0.868875378898571,0.001122125691533419,3
3.0366280555725096,0.10283017231397992,0.10609688758850097,0.025448090600154794,40,20,24,entropy,balanced,0.0001,"{'classifier__min_samples_split': 40, 'classifier__min_samples_leaf': 20, 'classifier__max_depth': 24, 'classifier__criterion': 'entropy', 'classifier__class_weight': 'balanced', 'classifier__ccp_alpha': 0.0001}",0.8686808908357919,0.8653979111764609,0.8660960124626144,0.8661898834923625,0.8661894590753586,0.8665108314085176,0.0011248210399977308,4
2.1370154857635497,0.04809057353933277,0.10416936874389648,0.018727310926938932,40,20,16,log_loss,,0.0,"{'classifier__min_samples_split': 40, 'classifier__min_samples_leaf': 20, 'classifier__max_depth': 16, 'classifier__criterion': 'log_loss', 'classifier__class_weight': None, 'classifier__ccp_alpha': 0.0}",0.8655546583865639,0.8618143567421863,0.8621537508655666,0.8641556123322036,0.8632407218059743,0.8633838200264989,0.0013641821572556866,5
3.3854326725006105,0.19687539876873195,0.05780782699584961,0.00409017065504849,20,1,24,log_loss,,0.0001,"{'classifier__min_samples_split': 20, 'classifier__min_samples_leaf': 1, 'classifier__max_depth': 24, 'classifier__criterion': 'log_loss', 'classifier__class_weight': None, 'classifier__ccp_alpha': 0.0001}",0.8641917258885704,0.8594418002923443,0.8596719197217423,0.8633668177746648,0.8589889275158122,0.861132238238627,0.002188044874245358,6
1.0378387928009034,0.11386150334261691,0.17964701652526854,0.2273966563521831,5,2,8,entropy,balanced,0.0001,"{'classifier__min_samples_split': 5, 'classifier__min_samples_leaf': 2, 'classifier__max_depth': 8, 'classifier__criterion': 'entropy', 'classifier__class_weight': 'balanced', 'classifier__ccp_alpha': 0.0001}",0.8572712998882323,0.8553226596474389,0.8572427881033908,0.8558099296919369,0.8593483067607183,0.8569989968183436,0.0014054769510407482,7
0.9656377315521241,0.037051313564856414,0.06340999603271484,0.009943814146443587,40,10,8,entropy,balanced,0.0,"{'classifier__min_samples_split': 40, 'classifier__min_samples_leaf': 10, 'classifier__max_depth': 8, 'classifier__criterion': 'entropy', 'classifier__class_weight': 'balanced', 'classifier__ccp_alpha': 0.0}",0.8571783273413975,0.8560248758247082,0.8543876986750237,0.8563347763087843,0.8598796346570545,0.8567610625613936,0.0018031166811954553,8
2.4880503177642823,0.07911889112346,0.10854849815368653,0.017660062541693694,5,10,16,log_loss,,0.0,"{'classifier__min_samples_split': 5, 'classifier__min_samples_leaf': 10, 'classifier__max_depth': 16, 'classifier__criterion': 'log_loss', 'classifier__class_weight': None, 'classifier__ccp_alpha': 0.0}",0.8556912041099091,0.8542167560284043,0.8590095474145195,0.8593496497720255,0.8540846523763496,0.8564703619402415,0.002285397030921565,9
2.6268297672271728,0.12977452836998427,0.10021920204162597,0.02289775325642896,10,10,16,log_loss,balanced,0.001,"{'classifier__min_samples_split': 10, 'classifier__min_samples_leaf': 10, 'classifier__max_depth': 16, 'classifier__criterion': 'log_loss', 'classifier__class_weight': 'balanced', 'classifier__ccp_alpha': 0.001}",0.8583833673619289,0.8532222521793279,0.8527867447312696,0.8575853350189634,0.859577717482999,0.8563110833548979,0.002776718120415419,10
2.5496294021606447,0.09230206644768332,0.10537967681884766,0.018681679236523,40,10,16,entropy,balanced,0.001,"{'classifier__min_samples_split': 40, 'classifier__min_samples_leaf': 10, 'classifier__max_depth': 16, 'classifier__criterion': 'entropy', 'classifier__class_weight': 'balanced', 'classifier__ccp_alpha': 0.001}",0.8583833673619289,0.8532222521793279,0.8527867447312696,0.8575853350189634,0.859577717482999,0.8563110833548979,0.002776718120415419,10
2.372411346435547,0.15750586910782038,0.09192252159118652,0.005363330455311889,40,1,16,entropy,balanced,0.001,"{'classifier__min_samples_split': 40, 'classifier__min_samples_leaf': 1, 'classifier__max_depth': 16, 'classifier__criterion': 'entropy', 'classifier__class_weight': 'balanced', 'classifier__ccp_alpha': 0.001}",0.8583833673619289,0.8532222521793279,0.8527867447312696,0.8575853350189634,0.859577717482999,0.8563110833548979,0.002776718120415419,10
2.2735680103302003,0.17045210556056492,0.12400250434875489,0.04093312062089718,20,2,16,log_loss,,0.001,"{'classifier__min_samples_split': 20, 'classifier__min_samples_leaf': 2, 'classifier__max_depth': 16, 'classifier__criterion': 'log_loss', 'classifier__class_weight': None, 'classifier__ccp_alpha': 0.001}",0.8556905735694529,0.851950799520151,0.8521336617446991,0.8570887809452101,0.8536578372409042,0.8541043306040834,0.0020071720798182256,13
3.6495296955108643,0.11630198272663805,0.1098513126373291,0.011496629054475124,20,2,,entropy,,0.001,"{'classifier__min_samples_split': 20, 'classifier__min_samples_leaf': 2, 'classifier__max_depth': None, 'classifier__criterion': 'entropy', 'classifier__class_weight': None, 'classifier__ccp_alpha': 0.001}",0.8556905735694529,0.851950799520151,0.8521336617446991,0.8570887809452101,0.8536578372409042,0.8541043306040834,0.0020071720798182256,13
2.2573495388031004,0.052034065288963094,0.09777240753173828,0.014809994262504697,5,10,16,entropy,,0.001,"{'classifier__min_samples_split': 5, 'classifier__min_samples_leaf': 10, 'classifier__max_depth': 16, 'classifier__criterion': 'entropy', 'classifier__class_weight': None, 'classifier__ccp_alpha': 0.001}",0.8556905735694529,0.851950799520151,0.8521336617446991,0.8570887809452101,0.8536578372409042,0.8541043306040834,0.0020071720798182256,13
2.5167990207672117,0.20848744011317802,0.10526199340820312,0.014272047509596006,40,2,16,gini,balanced,0.001,"{'classifier__min_samples_split': 40, 'classifier__min_samples_leaf': 2, 'classifier__max_depth': 16, 'classifier__criterion': 'gini', 'classifier__class_weight': 'balanced', 'classifier__ccp_alpha': 0.001}",0.8542098458197329,0.8467055393570999,0.8439207700718158,0.8499738303625949,0.850586557118521,0.8490793085459529,0.0035111160507366934,16
2.4223483562469483,0.08059838545228228,0.11961164474487304,0.04274181463501814,10,20,16,gini,balanced,0.001,"{'classifier__min_samples_split': 10, 'classifier__min_samples_leaf': 20, 'classifier__max_depth': 16, 'classifier__criterion': 'gini', 'classifier__class_weight': 'balanced', 'classifier__ccp_alpha': 0.001}",0.8542098458197329,0.8467055393570999,0.8439207700718158,0.8499738303625949,0.850586557118521,0.8490793085459529,0.0035111160507366934,16
0.7713520050048828,0.06391296389209036,0.07856664657592774,0.018490176493756002,10,2,6,gini,,0.0001,"{'classifier__min_samples_split': 10, 'classifier__min_samples_leaf': 2, 'classifier__max_depth': 6, 'classifier__criterion': 'gini', 'classifier__class_weight': None, 'classifier__ccp_alpha': 0.0001}",0.8389119306386968,0.8270119979752703,0.8366537293791878,0.8389641712703699,0.852639632510431,0.8388362923547911,0.008186962713184715,18
2.7516502380371093,0.11666852281994303,0.28932738304138184,0.18297361956918695,2,1,16,log_loss,balanced,0.0,"{'classifier__min_samples_split': 2, 'classifier__min_samples_leaf': 1, 'classifier__max_depth': 16, 'classifier__criterion': 'log_loss', 'classifier__class_weight': 'balanced', 'classifier__ccp_alpha': 0.0}",0.827929048293634,0.8250234535313301,0.8308629444367392,0.8387017415288986,0.8286022894999616,0.8302238954581128,0.004630826777643266,19
0.9484190464019775,0.1033347224283052,0.0830998420715332,0.03962213032375095,10,10,6,entropy,,0.0001,"{'classifier__min_samples_split': 10, 'classifier__min_samples_leaf': 10, 'classifier__max_depth': 6, 'classifier__criterion': 'entropy', 'classifier__class_weight': None, 'classifier__ccp_alpha': 0.0001}",0.8283441498044708,0.826764337125944,0.8309218325539481,0.8337609422922184,0.8312636520678688,0.83021098276889,0.002432285517462155,20
0.7729549884796143,0.058028388333741535,0.10067915916442871,0.041816382287985475,2,2,6,log_loss,balanced,0.001,"{'classifier__min_samples_split': 2, 'classifier__min_samples_leaf': 2, 'classifier__max_depth': 6, 'classifier__criterion': 'log_loss', 'classifier__class_weight': 'balanced', 'classifier__ccp_alpha': 0.001}",0.8257741569828521,0.8226478087200708,0.8266570951496622,0.8297714492601094,0.8279109944052663,0.826552300903592,0.0023694097652931364,21
1.82709698677063,0.05647909859178014,0.09652395248413086,0.013944306321834108,10,10,12,log_loss,balanced,0.01,"{'classifier__min_samples_split': 10, 'classifier__min_samples_leaf': 10, 'classifier__max_depth': 12, 'classifier__criterion': 'log_loss', 'classifier__class_weight': 'balanced', 'classifier__ccp_alpha': 0.01}",0.8079110745449118,0.8072101580530723,0.8070452292133437,0.8062478529703824,0.8078837832512669,0.8072596196065953,0.0006141750897156007,22
0.8245959758758545,0.2157747315928602,0.18495922088623046,0.15717334363424662,40,5,4,entropy,,0.0,"{'classifier__min_samples_split': 40, 'classifier__min_samples_leaf': 5, 'classifier__max_depth': 4, 'classifier__criterion': 'entropy', 'classifier__class_weight': None, 'classifier__ccp_alpha': 0.0}",0.8050481635110305,0.8012922913778405,0.8057820102655999,0.8044335019735303,0.8062549233669607,0.8045621780989922,0.0017491869878353537,23
4.646935081481933,0.3158694101275608,0.11939897537231445,0.023640172523706367,2,5,,entropy,balanced,0.0,"{'classifier__min_samples_split': 2, 'classifier__min_samples_leaf': 5, 'classifier__max_depth': None, 'classifier__criterion': 'entropy', 'classifier__class_weight': 'balanced', 'classifier__ccp_alpha': 0.0}",0.8068840270874003,0.7967475616614519,0.804574231321582,0.8139106161495739,0.7991742964242377,0.8042581465288492,0.006040194450835565,24
2.399327516555786,0.09089209450386149,0.11105837821960449,0.042342064888304894,40,10,16,entropy,,0.01,"{'classifier__min_samples_split': 40, 'classifier__min_samples_leaf': 10, 'classifier__max_depth': 16, 'classifier__criterion': 'entropy', 'classifier__class_weight': None, 'classifier__ccp_alpha': 0.01}",0.7781224646482989,0.7851126876166693,0.7846746280347581,0.7852003495460713,0.7795307491574054,0.7825281758006406,0.0030601414439778165,25
1.0355365753173829,0.054840252254332776,0.07849106788635254,0.021284610972196513,2,5,8,entropy,,0.01,"{'classifier__min_samples_split': 2, 'classifier__min_samples_leaf': 5, 'classifier__max_depth': 8, 'classifier__criterion': 'entropy', 'classifier__class_weight': None, 'classifier__ccp_alpha': 0.01}",0.7781224646482989,0.7851126876166693,0.7846746280347581,0.7852003495460713,0.7795307491574054,0.7825281758006406,0.0030601414439778165,25
0.6767852783203125,0.0905227104247927,0.07349586486816406,0.0068150304906552705,5,20,4,gini,,0.01,"{'classifier__min_samples_split': 5, 'classifier__min_samples_leaf': 20, 'classifier__max_depth': 4, 'classifier__criterion': 'gini', 'classifier__class_weight': None, 'classifier__ccp_alpha': 0.01}",0.7728642076309498,0.7754905115757449,0.769308148895716,0.7731161013261598,0.8014688412081679,0.7784495621273477,0.011677761895220483,27
1.1522850036621093,0.25823568323631174,0.06757416725158691,0.013879355303592845,10,1,8,gini,,0.01,"{'classifier__min_samples_split': 10, 'classifier__min_samples_leaf': 1, 'classifier__max_depth': 8, 'classifier__criterion': 'gini', 'classifier__class_weight': None, 'classifier__ccp_alpha': 0.01}",0.7728642076309498,0.7754905115757449,0.769308148895716,0.7731161013261598,0.8014688412081679,0.7784495621273477,0.011677761895220483,27
2.1213995933532717,0.38524261812697574,0.11782922744750976,0.0320301347363532,10,20,12,gini,balanced,0.01,"{'classifier__min_samples_split': 10, 'classifier__min_samples_leaf': 20, 'classifier__max_depth': 12, 'classifier__criterion': 'gini', 'classifier__class_weight': 'balanced', 'classifier__ccp_alpha': 0.01}",0.7728334269621568,0.7754905115757449,0.7736352482628842,0.7757291537737672,0.7747628515240575,0.7744902384197221,0.0011032504629514548,29
4.022816562652588,0.14658985903805913,0.10786380767822265,0.011284972758081551,2,2,24,gini,,0.0,"{'classifier__min_samples_split': 2, 'classifier__min_samples_leaf': 2, 'classifier__max_depth': 24, 'classifier__criterion': 'gini', 'classifier__class_weight': None, 'classifier__ccp_alpha': 0.0}",0.7703581824951881,0.7749353271382862,0.7751182201146987,0.7761188549278302,0.7688223930397924,0.7730705955431592,0.0029108859351231115,30
